year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice
2014,Dodge,Grand Caravan,SXT,Minivan,automatic,2c4rdgcg8er291700,ca,3,25500,white,black,enterprise holdings/gdp,16500,16200
2014,Dodge,Grand Caravan,SXT,Minivan,automatic,2c4rdgcg2er264122,ca,3,25496,white,black,enterprise holdings/gdp,16600,15500
2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap9dn403384,ca,3,24185,black,black,california republic bank,14500,12900
2014,Dodge,Grand Caravan,SXT,Minivan,automatic,2c4rdgcg0er262496,ca,3,23871,White,black,enterprise holdings/gdp,16600,15900
2014,Dodge,Grand Caravan,SXT,Minivan,automatic,2c4rdgcg0er264071,ca,3,23490,black,black,enterprise holdings/gdp,16650,15000
2014,Dodge,Grand Caravan,SXT,Minivan,automatic,2c4rdgcg3er264016,ca,3,23468,White,black,enterprise holdings/gdp,16700,15750
2014,Dodge,Grand Caravan,SXT,Minivan,automatic,2c4rdgcg9er291723,ca,3,22801,white,black,enterprise holdings/gdp,16650,17200
2014,Dodge,Grand Caravan,SXT,Minivan,automatic,2c4rdgcg7er264164,ca,3,22277,white,black,enterprise holdings/gdp,16700,15000
2014,Dodge,Grand Caravan,SXT,Minivan,automatic,2c4rdgcg6er347603,ca,3,21545,white,black,enterprise holdings/gdp,16700,16900
2014,Dodge,Grand Caravan,SXT,Minivan,automatic,2c4rdgcg0er262787,ca,3,21492,White,black,enterprise holdings/gdp,16600,16300
2014,Dodge,Grand Caravan,SXT,Minivan,automatic,2c4rdgcg9er265526,ca,3,20406,White,black,pv holding inc/gdp,16650,16100
2013,Hyundai,Genesis,3.8,Sedan,automatic,kmhgc4dd0du214801,ca,3,19893,white,beige,remarketing by ge/film vehicle services,18800,22500
2014,Dodge,Charger,SE,Sedan,automatic,2c3cdxbg5eh262348,ca,3,17504,blue,black,hertz corporation/gdp,16350,17200
2014,Dodge,Charger,SE,Sedan,automatic,2c3cdxbg5eh262334,ca,3,16295,silver,black,hertz corporation/gdp,16650,17000
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap2cc256166,ca,3,14887,beige,beige,nissan motor acceptance corporation,13700,11500
2014,Dodge,Grand Caravan,SXT,Minivan,automatic,2c4rdgcg8er323299,ca,3,14433,blue,black,enterprise holdings/gdp,17100,17200
2014,Dodge,Grand Caravan,SXT,Minivan,automatic,2c4rdgcg5er323275,ca,3,13792,White,black,enterprise holdings/gdp,17100,17200
2014,Chevrolet,Camaro,LT,Coupe,automatic,2g1fb1e37e9270877,ca,3,13606,black,black,enterprise vehicle exchange / tra / rental / tulsa,21400,13000
2014,Chevrolet,Camaro,LT,Convertible,automatic,2g1fb3d37e9218789,ca,3,4809,red,black,d/m auto sales inc,26300,17500
2010,Chevrolet,Equinox,LS,SUV,automatic,2cnalbew7a6377823,ca,4,77058,gray,black,ge capital fleet services,10000,10700
2009,BMW,X5,xDrive30i,SUV,automatic,5uxfe43599l262846,ca,4,76020,black,black,motor city buick gmc,18750,16750
2012,Dodge,Journey,SXT,SUV,automatic,3c4pdcbb7ct394882,ca,4,70925,gray,black,remktgedge / cars / carfinance capital llc,9250,11200
2011,BMW,3 Series,328i,Coupe,automatic,wbake5c50be574244,ca,4,62300,black,brown,century dealer services corp,17850,16800
2012,Chevrolet,Malibu,LS Fleet,Sedan,automatic,1g1za5e04cf380576,ca,4,58781,white,gray,the hertz corporation/gm,8925,10000
2013,Toyota,Prius,Two,Hatchback,automatic,jtdkn3du1d5577332,ca,4,57865,silver,gray,the hertz corporation,13300,14800
2011,BMW,3 Series,328i,Sedan,automatic,wbaph5c54ba442608,ca,4,56559,white,black,aaero sweet company,16550,17250
2012,Hyundai,Tucson,GLS,SUV,automatic,km8ju3acxcu486909,ca,4,56451,gray,black,hyundai motor finance,13100,13400
2011,BMW,3 Series,328i,Sedan,automatic,wbaph5c59bf093304,ca,4,52875,black,beige,financial services remarketing (lease),16950,18000
2010,BMW,5 Series,535i,Sedan,automatic,wbanw1c51ac168020,ca,4,51630,gray,gray,remarketing by ge/manheim riverside,20100,18500
2011,Toyota,Prius,Three,Hatchback,automatic,jtdkn3du8b0314667,ca,4,47905,blue,beige,northwestern chrys/j/d/ge,13600,13600
2011,Kia,Optima,SX,Sedan,automatic,knagr4a6xb5185594,ca,4,47576,white,black,kia motors finance,15000,16500
2010,Honda,CR-V,EX-L,SUV,automatic,jhlre3h75ac004737,ca,4,47337,gray,black,remarketing by ge/chase lease remarketing co,14850,16000
